,0
2,Opening Image
3,Set-Up
4,Set-Up
5,Set-Up
6,Set-Up
7,Set-Up
8,Set-Up
9,Set-Up
10,Set-Up
11,Catalyst
13,Set-Up
14,Set-Up
15,Debate
16,None
17,Debate
18,Debate
19,Debate
20,Catalyst
21,Debate
22,B Story
23,B Story
24,Fun and Games
25,B Story
27,None
28,B Story
31,B Story
33,Fun and Games
34,B Story
35,B Story
36,Fun and Games
37,Fun and Games
38,Fun and Games
40,B Story
41,Midpoint
42,Fun and Games
43,Midpoint
44,Midpoint
45,Midpoint
47,Bad Guys Close In
48,Bad Guys Close In
49,Bad Guys Close In
50,Midpoint
51,Bad Guys Close In
52,Bad Guys Close In
53,Fun and Games
54,None
55,Bad Guys Close In
56,All Is Lost
57,Dark Night of the Soul
58,Dark Night of the Soul
59,Dark Night of the Soul
60,Break into Three
62,Break into Three
63,Break into Three
64,All Is Lost
65,Finale
66,Finale
67,Finale
68,Final Image
69,Final Image
