,0
1,Opening Image
2,Theme Stated
4,Theme Stated
5,None
6,None
7,Theme Stated
8,Theme Stated
9,Set-Up
11,Set-Up
13,None
14,Set-Up
15,Set-Up
16,Set-Up
18,None
19,Set-Up
20,Catalyst
21,Set-Up
22,None
23,None
24,None
25,Set-Up
26,Set-Up
28,Debate
29,Debate
30,Debate
31,Debate
32,Debate
33,Debate
34,Set-Up
35,Set-Up
36,Set-Up
38,Set-Up
39,None
40,B Story
41,None
42,B Story
43,B Story
44,B Story
45,B Story
47,None
48,None
50,None
51,None
52,B Story
53,None
57,B Story
58,B Story
59,None
61,None
62,Debate
63,Fun and Games
64,B Story
65,B Story
67,B Story
68,Midpoint
69,B Story
70,None
71,None
72,B Story
73,None
74,None
75,Break into Two
77,Midpoint
78,Midpoint
79,B Story
80,B Story
81,B Story
82,None
83,Fun and Games
84,Bad Guys Close In
85,None
86,None
87,Bad Guys Close In
88,None
89,Fun and Games
90,Midpoint
91,Bad Guys Close In
92,Bad Guys Close In
93,Bad Guys Close In
94,Bad Guys Close In
95,None
96,None
97,Bad Guys Close In
98,None
99,All Is Lost
100,None
101,All Is Lost
102,All Is Lost
103,Dark Night of the Soul
104,None
105,Dark Night of the Soul
107,None
108,Dark Night of the Soul
109,Dark Night of the Soul
110,Dark Night of the Soul
111,Dark Night of the Soul
112,None
114,Dark Night of the Soul
115,Dark Night of the Soul
116,Dark Night of the Soul
117,Dark Night of the Soul
118,Finale
119,Dark Night of the Soul
120,None
121,Break into Three
122,Break into Three
123,Finale
124,Finale
125,Finale
127,Finale
129,Finale
130,Finale
131,Finale
132,Finale
133,Finale
134,Finale
135,Finale
136,Finale
138,Finale
139,Finale
140,Finale
141,Finale
142,Finale
143,Finale
144,Finale
145,Finale
146,Finale
147,Finale
148,Finale
149,Finale
150,Finale
151,Finale
152,Finale
153,Finale
154,Finale
155,Finale
156,Finale
157,Finale
158,Finale
159,Final Image
160,Final Image
