,0
3,Theme Stated
5,Set-Up
7,Set-Up
8,Set-Up
9,Set-Up
11,Set-Up
13,Set-Up
14,Set-Up
16,Set-Up
17,Set-Up
18,Set-Up
20,Set-Up
21,Set-Up
22,Set-Up
24,Set-Up
27,Set-Up
28,Set-Up
30,Set-Up
31,Set-Up
32,Debate
34,Debate
35,Debate
37,Debate
38,Debate
39,Debate
40,Debate
42,Debate
43,Debate
45,Break into Two
46,Break into Two
47,Break into Two
48,Break into Two
49,Break into Two
51,None
52,Break into Two
53,Break into Two
55,Fun and Games
56,Fun and Games
57,Fun and Games
58,Fun and Games
59,None
60,Break into Two
62,B Story
64,B Story
65,Fun and Games
66,Fun and Games
67,Fun and Games
68,B Story
70,Fun and Games
71,Fun and Games
72,Fun and Games
74,Midpoint
76,Fun and Games
77,Fun and Games
78,Fun and Games
79,Midpoint
81,B Story
82,B Story
84,Fun and Games
85,B Story
86,B Story
87,B Story
88,Midpoint
89,Midpoint
90,Midpoint
91,Midpoint
93,Midpoint
98,Bad Guys Close In
99,Bad Guys Close In
101,Bad Guys Close In
102,Bad Guys Close In
103,Bad Guys Close In
105,Bad Guys Close In
106,Bad Guys Close In
107,Bad Guys Close In
108,Bad Guys Close In
109,Bad Guys Close In
110,All Is Lost
111,All Is Lost
112,All Is Lost
113,All Is Lost
114,All Is Lost
118,Dark Night of the Soul
119,Dark Night of the Soul
121,Break into Three
123,Break into Three
124,Dark Night of the Soul
125,Break into Three
128,Finale
130,Finale
131,Finale
132,Finale
133,Finale
134,Finale
135,Finale
136,Finale
137,Finale
138,Finale
139,Finale
140,Finale
142,Finale
144,Final Image
